Logging to results/training_logs/raw_runs/train_sft_raw_20260511_174855.log
{"batch_size": 4, "epochs": 1, "eval_file": "data/processed/training/hh_rlhf/hh_rlhf_test.jsonl", "fp16": true, "grad_accum": 4, "log_dir": "results/training_logs/raw_runs", "log_steps": 500, "lr": 2e-05, "max_length": 512, "max_prompt_length": 256, "max_samples": null, "model_name": "gpt2", "output_dir": "models/sft", "train_file": "data/processed/training/hh_rlhf/hh_rlhf_train.jsonl"}
Train: 42486 examples | Eval: 2308 examples
train_step epoch 0 | step 369/2656 | loss 2.5096
train_step epoch 0 | step 370/2656 | loss 2.3723
train_step epoch 0 | step 371/2656 | loss 2.3406
train_step epoch 0 | step 372/2656 | loss 2.5698
train_step epoch 0 | step 373/2656 | loss 2.3135
train_step epoch 0 | step 374/2656 | loss 2.4431
train_step epoch 0 | step 375/2656 | loss 2.2111
train_step epoch 0 | step 376/2656 | loss 2.2905
train_step epoch 0 | step 377/2656 | loss 2.3337
train_step epoch 0 | step 378/2656 | loss 2.3384
train_step epoch 0 | step 379/2656 | loss 2.3838
train_step epoch 0 | step 380/2656 | loss 2.4283
train_step epoch 0 | step 381/2656 | loss 2.3926
train_step epoch 0 | step 382/2656 | loss 2.6186
train_step epoch 0 | step 383/2656 | loss 2.5402
train_step epoch 0 | step 384/2656 | loss 2.6534
train_step epoch 0 | step 385/2656 | loss 2.1732
train_step epoch 0 | step 386/2656 | loss 2.6760
train_step epoch 0 | step 387/2656 | loss 2.4008
train_step epoch 0 | step 388/2656 | loss 2.3153
train_step epoch 0 | step 389/2656 | loss 2.1674
train_step epoch 0 | step 390/2656 | loss 2.3889
train_step epoch 0 | step 391/2656 | loss 2.4430
train_step epoch 0 | step 392/2656 | loss 2.2534
train_step epoch 0 | step 393/2656 | loss 2.6406
train_step epoch 0 | step 394/2656 | loss 2.4953
train_step epoch 0 | step 395/2656 | loss 2.2006
train_step epoch 0 | step 396/2656 | loss 2.6018
train_step epoch 0 | step 397/2656 | loss 2.4648
train_step epoch 0 | step 398/2656 | loss 2.2016
train_step epoch 0 | step 399/2656 | loss 2.6189
train_step epoch 0 | step 400/2656 | loss 2.2167
train_step epoch 0 | step 401/2656 | loss 2.2633
train_step epoch 0 | step 402/2656 | loss 2.5887
train_step epoch 0 | step 403/2656 | loss 2.3843
train_step epoch 0 | step 404/2656 | loss 2.3036
train_step epoch 0 | step 405/2656 | loss 2.3626
train_step epoch 0 | step 406/2656 | loss 2.3669
train_step epoch 0 | step 407/2656 | loss 2.1612
train_step epoch 0 | step 408/2656 | loss 2.2853
train_step epoch 0 | step 409/2656 | loss 2.1874
train_step epoch 0 | step 410/2656 | loss 2.0798
train_step epoch 0 | step 411/2656 | loss 2.3817
train_step epoch 0 | step 412/2656 | loss 2.3137
train_step epoch 0 | step 413/2656 | loss 2.3666
train_step epoch 0 | step 414/2656 | loss 2.4996
train_step epoch 0 | step 415/2656 | loss 2.5077
train_step epoch 0 | step 416/2656 | loss 2.4759
train_step epoch 0 | step 417/2656 | loss 2.3591
train_step epoch 0 | step 418/2656 | loss 2.1797
train_step epoch 0 | step 419/2656 | loss 2.4315
train_step epoch 0 | step 420/2656 | loss 2.2948
train_step epoch 0 | step 421/2656 | loss 2.2895
train_step epoch 0 | step 422/2656 | loss 2.4003
train_step epoch 0 | step 423/2656 | loss 2.5362
train_step epoch 0 | step 424/2656 | loss 2.4393
train_step epoch 0 | step 425/2656 | loss 2.4345
train_step epoch 0 | step 426/2656 | loss 2.4948
train_step epoch 0 | step 427/2656 | loss 2.5291
train_step epoch 0 | step 428/2656 | loss 2.4810
train_step epoch 0 | step 429/2656 | loss 2.5774
train_step epoch 0 | step 430/2656 | loss 2.4122
train_step epoch 0 | step 431/2656 | loss 2.4748
train_step epoch 0 | step 432/2656 | loss 2.5783
train_step epoch 0 | step 433/2656 | loss 2.3056
train_step epoch 0 | step 434/2656 | loss 2.3821
train_step epoch 0 | step 435/2656 | loss 2.5023
train_step epoch 0 | step 436/2656 | loss 2.1400
train_step epoch 0 | step 437/2656 | loss 2.1975
train_step epoch 0 | step 438/2656 | loss 2.3428
train_step epoch 0 | step 439/2656 | loss 2.2656
train_step epoch 0 | step 440/2656 | loss 2.4603
train_step epoch 0 | step 441/2656 | loss 2.5224
train_step epoch 0 | step 442/2656 | loss 2.3671
train_step epoch 0 | step 443/2656 | loss 2.6891
train_step epoch 0 | step 444/2656 | loss 2.7342
train_step epoch 0 | step 445/2656 | loss 2.3701
train_step epoch 0 | step 446/2656 | loss 2.3123
train_step epoch 0 | step 447/2656 | loss 2.6604
train_step epoch 0 | step 448/2656 | loss 2.4330
train_step epoch 0 | step 449/2656 | loss 2.6100
train_step epoch 0 | step 450/2656 | loss 2.5657
train_step epoch 0 | step 451/2656 | loss 2.3804
train_step epoch 0 | step 452/2656 | loss 2.2278
train_step epoch 0 | step 453/2656 | loss 2.4202
train_step epoch 0 | step 454/2656 | loss 2.3172
train_step epoch 0 | step 455/2656 | loss 2.5311
train_step epoch 0 | step 456/2656 | loss 2.4841
train_step epoch 0 | step 457/2656 | loss 2.5056
train_step epoch 0 | step 458/2656 | loss 2.5272
train_step epoch 0 | step 459/2656 | loss 2.3397
train_step epoch 0 | step 460/2656 | loss 2.0836
train_step epoch 0 | step 461/2656 | loss 2.1879
train_step epoch 0 | step 462/2656 | loss 2.7137
train_step epoch 0 | step 463/2656 | loss 2.3460
train_step epoch 0 | step 464/2656 | loss 2.3527
train_step epoch 0 | step 465/2656 | loss 2.7016
train_step epoch 0 | step 466/2656 | loss 2.4911
train_step epoch 0 | step 467/2656 | loss 2.6627
train_step epoch 0 | step 468/2656 | loss 2.5674
train_step epoch 0 | step 469/2656 | loss 2.1892
train_step epoch 0 | step 470/2656 | loss 2.3623
train_step epoch 0 | step 471/2656 | loss 2.4010
train_step epoch 0 | step 472/2656 | loss 2.5054
train_step epoch 0 | step 473/2656 | loss 2.4257
train_step epoch 0 | step 474/2656 | loss 2.0807
train_step epoch 0 | step 475/2656 | loss 2.2654
train_step epoch 0 | step 476/2656 | loss 2.3754
train_step epoch 0 | step 477/2656 | loss 2.4565
train_step epoch 0 | step 478/2656 | loss 2.2524
